id,nombre,categoria,prompt_es,aspect_ratio,style
agua-micelar,Agua Micelar,Faciales,"Agua Micelar:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
agua-rosas,Agua de Rosas,Faciales,"Agua de Rosas:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
aceite-abre,Aceite Abre Caminos,Aceites,"Aceite Abre Caminos:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
aceite-ungir,Aceite para Ungir,Aceites,"Aceite para Ungir:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
shampoo-artesanal,Shampoo Artesanal,Shampoo,"Shampoo Artesanal:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
shampoo-miel,Shampoo Extracto de Miel,Shampoo,"Shampoo Extracto de Miel:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
shampoo-romero,Shampoo Extracto de Romero,Shampoo,"Shampoo Extracto de Romero:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
mascarilla-capilar,Mascarilla Capilar,Cabello,"Mascarilla Capilar:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
agua-luna,Agua de Luna,Energéticos,"Agua de Luna:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
miel-consagrada,Miel Consagrada,Miel,"Miel Consagrada:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
sal-negra,Sal Negra,Protección,"Sal Negra:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
polvo-oro,Polvo de Oro,Rituales,"Polvo de Oro:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
palo-santo,Palo Santo,Sahumerios,"Palo Santo:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
sahumerios,Sahumerios,Sahumerios,"Sahumerios:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
bano-amargo,Baño Energético Amargo,Baños Energéticos,"Baño Energético Amargo:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
bano-amor-propio,Baño Energético Amor Propio,Baños Energéticos,"Baño Energético Amor Propio:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
bano-abre-caminos,Baño Energético Abre Caminos,Baños Energéticos,"Baño Energético Abre Caminos:  Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
serv-sonoterapia,Sonoterapia,Servicios,"Sonoterapia: composición simbólica (cuenco tibetano, cacao ceremonial, cartas angelicales, péndulo), manos y luz cálida. Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
serv-ceremonia-cacao,Ceremonia de Cacao (10 pax),Servicios,"Ceremonia de Cacao (10 pax): composición simbólica (cuenco tibetano, cacao ceremonial, cartas angelicales, péndulo), manos y luz cálida. Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
serv-masaje-craneosacral-sonoterapia,Masaje Craneosacral con Sonoterapia,Servicios,"Masaje Craneosacral con Sonoterapia: composición simbólica (cuenco tibetano, cacao ceremonial, cartas angelicales, péndulo), manos y luz cálida. Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
serv-numerologia,Numerología,Servicios,"Numerología: composición simbólica (cuenco tibetano, cacao ceremonial, cartas angelicales, péndulo), manos y luz cálida. Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
serv-tarot-angelical,Tarot Angelical,Servicios,"Tarot Angelical: composición simbólica (cuenco tibetano, cacao ceremonial, cartas angelicales, péndulo), manos y luz cálida. Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
serv-radiestesia,Radiestesia,Servicios,"Radiestesia: composición simbólica (cuenco tibetano, cacao ceremonial, cartas angelicales, péndulo), manos y luz cálida. Foto de producto/servicio conceptual, estilo estudio, fondo crema cálido minimalista, iluminación suave y difusa, utilería mínima, paleta miel (#E0A73A) y verde (#628D6A), 4k, sin texto.",4:3,"estudio minimalista cálido, realista, high key"
